Name	Value	Time
txApplied-total	0	2019-10-20T13:43:10.308Z
txRejected-average	0	2019-10-20T13:43:10.308Z
txRejected-total	0	2019-10-20T13:43:10.308Z
txExpired-average	0	2019-10-20T13:43:10.308Z
txExpired-total	0	2019-10-20T13:43:10.308Z
queueLength-average	0	2019-10-20T13:43:10.308Z
queueLength-value	0	2019-10-20T13:43:10.308Z
serverLoad-average	0	2019-10-20T13:43:10.308Z
serverLoad-value	0	2019-10-20T13:43:10.308Z
txTimeInQueue-average	0	2019-10-20T13:43:10.308Z
txInjected-average	0	2019-10-20T13:43:11.310Z
txInjected-total	0	2019-10-20T13:43:11.310Z
txApplied-average	0	2019-10-20T13:43:11.310Z
txApplied-total	0	2019-10-20T13:43:11.310Z
txRejected-average	0	2019-10-20T13:43:11.310Z
txRejected-total	0	2019-10-20T13:43:11.310Z
txExpired-average	0	2019-10-20T13:43:11.310Z
txExpired-total	0	2019-10-20T13:43:11.310Z
queueLength-average	0	2019-10-20T13:43:11.310Z
queueLength-value	0	2019-10-20T13:43:11.310Z
serverLoad-average	0	2019-10-20T13:43:11.310Z
serverLoad-value	0	2019-10-20T13:43:11.310Z
txTimeInQueue-average	0	2019-10-20T13:43:11.310Z
txInjected-average	0	2019-10-20T13:43:12.310Z
txInjected-total	0	2019-10-20T13:43:12.310Z
txApplied-average	0	2019-10-20T13:43:12.310Z
txApplied-total	0	2019-10-20T13:43:12.310Z
txRejected-average	0	2019-10-20T13:43:12.310Z
txRejected-total	0	2019-10-20T13:43:12.310Z
txExpired-average	0	2019-10-20T13:43:12.310Z
txExpired-total	0	2019-10-20T13:43:12.310Z
queueLength-average	0	2019-10-20T13:43:12.310Z
queueLength-value	0	2019-10-20T13:43:12.310Z
serverLoad-average	0	2019-10-20T13:43:12.310Z
serverLoad-value	0	2019-10-20T13:43:12.310Z
txTimeInQueue-average	0	2019-10-20T13:43:12.310Z
txInjected-average	0	2019-10-20T13:43:13.315Z
txInjected-total	0	2019-10-20T13:43:13.315Z
txApplied-average	0	2019-10-20T13:43:13.315Z
txApplied-total	0	2019-10-20T13:43:13.315Z
txRejected-average	0	2019-10-20T13:43:13.315Z
txRejected-total	0	2019-10-20T13:43:13.315Z
txExpired-average	0	2019-10-20T13:43:13.315Z
txExpired-total	0	2019-10-20T13:43:13.315Z
queueLength-average	0	2019-10-20T13:43:13.315Z
queueLength-value	0	2019-10-20T13:43:13.315Z
serverLoad-average	0	2019-10-20T13:43:13.315Z
serverLoad-value	0	2019-10-20T13:43:13.315Z
txTimeInQueue-average	0	2019-10-20T13:43:13.315Z
txInjected-average	0	2019-10-20T13:43:14.315Z
txInjected-total	0	2019-10-20T13:43:14.315Z
txApplied-average	0	2019-10-20T13:43:14.315Z
txApplied-total	0	2019-10-20T13:43:14.315Z
txRejected-average	0	2019-10-20T13:43:14.315Z
txRejected-total	0	2019-10-20T13:43:14.315Z
txExpired-average	0	2019-10-20T13:43:14.315Z
txExpired-total	0	2019-10-20T13:43:14.315Z
queueLength-average	0	2019-10-20T13:43:14.315Z
queueLength-value	0	2019-10-20T13:43:14.315Z
serverLoad-average	0	2019-10-20T13:43:14.315Z
serverLoad-value	0	2019-10-20T13:43:14.315Z
txTimeInQueue-average	0	2019-10-20T13:43:14.315Z
txInjected-average	0	2019-10-20T13:43:15.317Z
txInjected-total	0	2019-10-20T13:43:15.317Z
txApplied-average	0	2019-10-20T13:43:15.317Z
txApplied-total	0	2019-10-20T13:43:15.317Z
txRejected-average	0	2019-10-20T13:43:15.317Z
txRejected-total	0	2019-10-20T13:43:15.317Z
txExpired-average	0	2019-10-20T13:43:15.317Z
txExpired-total	0	2019-10-20T13:43:15.317Z
queueLength-average	0	2019-10-20T13:43:15.317Z
queueLength-value	0	2019-10-20T13:43:15.317Z
serverLoad-average	0	2019-10-20T13:43:15.317Z
serverLoad-value	0	2019-10-20T13:43:15.317Z
txTimeInQueue-average	0	2019-10-20T13:43:15.317Z
txInjected-average	0	2019-10-20T13:43:16.318Z
txInjected-total	0	2019-10-20T13:43:16.318Z
txApplied-average	0	2019-10-20T13:43:16.318Z
txApplied-total	0	2019-10-20T13:43:16.318Z
txRejected-average	0	2019-10-20T13:43:16.318Z
txRejected-total	0	2019-10-20T13:43:16.318Z
txExpired-average	0	2019-10-20T13:43:16.318Z
txExpired-total	0	2019-10-20T13:43:16.318Z
queueLength-average	0	2019-10-20T13:43:16.318Z
queueLength-value	0	2019-10-20T13:43:16.318Z
serverLoad-average	0	2019-10-20T13:43:16.318Z
serverLoad-value	0	2019-10-20T13:43:16.318Z
txTimeInQueue-average	0	2019-10-20T13:43:16.318Z
txInjected-average	0	2019-10-20T13:43:17.322Z
txInjected-total	0	2019-10-20T13:43:17.322Z
txApplied-average	0	2019-10-20T13:43:17.322Z
txApplied-total	0	2019-10-20T13:43:17.322Z
txRejected-average	0	2019-10-20T13:43:17.322Z
txRejected-total	0	2019-10-20T13:43:17.322Z
txExpired-average	0	2019-10-20T13:43:17.322Z
txExpired-total	0	2019-10-20T13:43:17.322Z
queueLength-average	0	2019-10-20T13:43:17.322Z
queueLength-value	0	2019-10-20T13:43:17.322Z
serverLoad-average	0	2019-10-20T13:43:17.322Z
serverLoad-value	0	2019-10-20T13:43:17.322Z
txTimeInQueue-average	0	2019-10-20T13:43:17.322Z
txInjected-average	0	2019-10-20T13:43:18.323Z
txInjected-total	0	2019-10-20T13:43:18.323Z
txApplied-average	0	2019-10-20T13:43:18.323Z
txApplied-total	0	2019-10-20T13:43:18.323Z
txRejected-average	0	2019-10-20T13:43:18.323Z
txRejected-total	0	2019-10-20T13:43:18.323Z
txExpired-average	0	2019-10-20T13:43:18.323Z
txExpired-total	0	2019-10-20T13:43:18.323Z
queueLength-average	0	2019-10-20T13:43:18.323Z
queueLength-value	0	2019-10-20T13:43:18.323Z
serverLoad-average	0	2019-10-20T13:43:18.323Z
serverLoad-value	0	2019-10-20T13:43:18.323Z
txTimeInQueue-average	0	2019-10-20T13:43:18.323Z
txInjected-average	0	2019-10-20T13:43:19.326Z
txInjected-total	0	2019-10-20T13:43:19.326Z
txApplied-average	0	2019-10-20T13:43:19.326Z
txApplied-total	0	2019-10-20T13:43:19.326Z
txRejected-average	0	2019-10-20T13:43:19.326Z
txRejected-total	0	2019-10-20T13:43:19.326Z
txExpired-average	0	2019-10-20T13:43:19.326Z
txExpired-total	0	2019-10-20T13:43:19.326Z
queueLength-average	0	2019-10-20T13:43:19.326Z
queueLength-value	0	2019-10-20T13:43:19.326Z
serverLoad-average	0	2019-10-20T13:43:19.326Z
serverLoad-value	0	2019-10-20T13:43:19.326Z
txTimeInQueue-average	0	2019-10-20T13:43:19.326Z
txInjected-average	0	2019-10-20T13:43:20.326Z
txInjected-total	0	2019-10-20T13:43:20.326Z
txApplied-average	0	2019-10-20T13:43:20.326Z
txApplied-total	0	2019-10-20T13:43:20.326Z
txRejected-average	0	2019-10-20T13:43:20.326Z
txRejected-total	0	2019-10-20T13:43:20.326Z
txExpired-average	0	2019-10-20T13:43:20.326Z
txExpired-total	0	2019-10-20T13:43:20.326Z
queueLength-average	0	2019-10-20T13:43:20.326Z
queueLength-value	0	2019-10-20T13:43:20.326Z
serverLoad-average	0	2019-10-20T13:43:20.326Z
serverLoad-value	0	2019-10-20T13:43:20.326Z
txTimeInQueue-average	0	2019-10-20T13:43:20.326Z
txInjected-average	0	2019-10-20T13:43:21.330Z
txInjected-total	0	2019-10-20T13:43:21.330Z
txApplied-average	0	2019-10-20T13:43:21.330Z
txApplied-total	0	2019-10-20T13:43:21.330Z
txRejected-average	0	2019-10-20T13:43:21.330Z
txRejected-total	0	2019-10-20T13:43:21.330Z
txExpired-average	0	2019-10-20T13:43:21.330Z
txExpired-total	0	2019-10-20T13:43:21.330Z
queueLength-average	0	2019-10-20T13:43:21.330Z
queueLength-value	0	2019-10-20T13:43:21.330Z
serverLoad-average	0	2019-10-20T13:43:21.330Z
serverLoad-value	0	2019-10-20T13:43:21.330Z
txTimeInQueue-average	0	2019-10-20T13:43:21.330Z
txInjected-average	0	2019-10-20T13:43:22.332Z
txInjected-total	0	2019-10-20T13:43:22.332Z
txApplied-average	0	2019-10-20T13:43:22.332Z
txApplied-total	0	2019-10-20T13:43:22.332Z
txRejected-average	0	2019-10-20T13:43:22.332Z
txRejected-total	0	2019-10-20T13:43:22.332Z
txExpired-average	0	2019-10-20T13:43:22.332Z
txExpired-total	0	2019-10-20T13:43:22.332Z
queueLength-average	0	2019-10-20T13:43:22.332Z
queueLength-value	0	2019-10-20T13:43:22.332Z
serverLoad-average	0	2019-10-20T13:43:22.332Z
serverLoad-value	0	2019-10-20T13:43:22.332Z
txTimeInQueue-average	0	2019-10-20T13:43:22.332Z
txInjected-average	0	2019-10-20T13:43:23.333Z
txInjected-total	0	2019-10-20T13:43:23.333Z
txApplied-average	0	2019-10-20T13:43:23.333Z
txApplied-total	0	2019-10-20T13:43:23.333Z
txRejected-average	0	2019-10-20T13:43:23.333Z
txRejected-total	0	2019-10-20T13:43:23.333Z
txExpired-average	0	2019-10-20T13:43:23.333Z
txExpired-total	0	2019-10-20T13:43:23.333Z
queueLength-average	0	2019-10-20T13:43:23.333Z
queueLength-value	0	2019-10-20T13:43:23.333Z
serverLoad-average	0	2019-10-20T13:43:23.333Z
serverLoad-value	0	2019-10-20T13:43:23.333Z
txTimeInQueue-average	0	2019-10-20T13:43:23.333Z
txInjected-average	0	2019-10-20T13:43:24.334Z
txInjected-total	0	2019-10-20T13:43:24.334Z
txApplied-average	0	2019-10-20T13:43:24.334Z
txApplied-total	0	2019-10-20T13:43:24.334Z
txRejected-average	0	2019-10-20T13:43:24.334Z
txRejected-total	0	2019-10-20T13:43:24.334Z
txExpired-average	0	2019-10-20T13:43:24.334Z
txExpired-total	0	2019-10-20T13:43:24.334Z
queueLength-average	0	2019-10-20T13:43:24.334Z
queueLength-value	0	2019-10-20T13:43:24.334Z
serverLoad-average	0	2019-10-20T13:43:24.334Z
serverLoad-value	0	2019-10-20T13:43:24.334Z
txTimeInQueue-average	0	2019-10-20T13:43:24.334Z
txInjected-average	0	2019-10-20T13:43:25.336Z
txInjected-total	0	2019-10-20T13:43:25.336Z
txApplied-average	0	2019-10-20T13:43:25.336Z
txApplied-total	0	2019-10-20T13:43:25.336Z
txRejected-average	0	2019-10-20T13:43:25.336Z
txRejected-total	0	2019-10-20T13:43:25.336Z
txExpired-average	0	2019-10-20T13:43:25.336Z
txExpired-total	0	2019-10-20T13:43:25.336Z
queueLength-average	0	2019-10-20T13:43:25.336Z
queueLength-value	0	2019-10-20T13:43:25.336Z
serverLoad-average	0	2019-10-20T13:43:25.336Z
serverLoad-value	0	2019-10-20T13:43:25.336Z
txTimeInQueue-average	0	2019-10-20T13:43:25.336Z
txInjected-average	0	2019-10-20T13:43:26.336Z
txInjected-total	0	2019-10-20T13:43:26.336Z
txApplied-average	0	2019-10-20T13:43:26.336Z
txApplied-total	0	2019-10-20T13:43:26.336Z
txRejected-average	0	2019-10-20T13:43:26.336Z
txRejected-total	0	2019-10-20T13:43:26.336Z
